stage,optimized_path_name,optimization_target,device_requested,resolved_device,dtype_name,resolved_dtype,batch,heads,head_dim,model_dim,prompt_len,gen_steps,total_seq_len,warmup,iters,seed,atol,rtol,naive_checksum,cache_checksum,optimized_checksum,naive_vs_cache_allclose,naive_vs_cache_max_abs_diff,naive_vs_cache_mean_abs_diff,naive_vs_optimized_allclose,naive_vs_optimized_max_abs_diff,naive_vs_optimized_mean_abs_diff,cache_vs_optimized_allclose,cache_vs_optimized_max_abs_diff,cache_vs_optimized_mean_abs_diff,hidden_states_bytes,hidden_states_mib,separate_weights_bytes,separate_weights_mib,fused_weights_bytes,fused_weights_mib,standard_kv_cache_capacity_bytes,standard_kv_cache_capacity_mib,optimized_kv_cache_capacity_bytes,optimized_kv_cache_capacity_mib,naive_full_total_mean_ms,naive_full_total_std_ms,naive_full_total_min_ms,naive_full_total_max_ms,cache_full_total_mean_ms,cache_full_total_std_ms,cache_full_total_min_ms,cache_full_total_max_ms,optimized_full_total_mean_ms,optimized_full_total_std_ms,optimized_full_total_min_ms,optimized_full_total_max_ms,optimized_prefill_only_mean_ms,optimized_prefill_only_std_ms,optimized_prefill_only_min_ms,optimized_prefill_only_max_ms,naive_amortized_per_step_mean_ms,cache_amortized_per_step_mean_ms,optimized_amortized_per_step_mean_ms,optimized_prefill_fraction,cache_vs_naive_full_speedup,optimized_vs_naive_full_speedup,optimized_vs_cache_full_speedup
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp16,torch.float16,1,8,64,512,128,32,160,20,100,0,0.005,0.05,-87.81440734863281,-87.81118774414062,-87.81294250488281,True,0.000244140625,1.7881393432617188e-06,True,0.00048828125,4.8160552978515625e-05,True,0.00048828125,4.798173904418945e-05,163840,0.15625,1572864,1.5,1572864,1.5,327680,0.3125,327680,0.3125,2.7349741151556373,0.03780911144262424,2.6599070988595486,2.8254901990294456,3.130978033877909,0.11636580614834105,3.0843131244182587,4.276189021766186,4.120287490077317,0.10882812245181529,4.0657659992575645,5.186302121728659,0.10152526665478945,0.005553630774891553,0.09748106822371483,0.12560095638036728,0.08546794109861366,0.09784306355868466,0.12875898406491615,0.024640335631746012,0.8735206972270589,0.6637823505622215,0.7598931000368513
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp16,torch.float16,1,8,64,512,256,32,288,20,100,0,0.005,0.05,-70.16012573242188,-70.15950775146484,-70.16726684570312,True,0.000244140625,1.7285346984863281e-06,True,0.00048828125,5.4895877838134766e-05,True,0.00048828125,5.4955482482910156e-05,294912,0.28125,1572864,1.5,1572864,1.5,589824,0.5625,589824,0.5625,3.002963257022202,0.3226918308257685,2.8965999372303486,6.206155754625797,3.3644146751612425,0.031790843073824744,3.29800508916378,3.439136780798435,4.081581169739366,0.020774036022019462,4.048035945743322,4.139707423746586,0.10337390471249819,0.006024325446046232,0.09883195161819458,0.12627197429537773,0.09384260178194381,0.10513795859878883,0.12754941155435517,0.02532692611356281,0.8925663293506715,0.7357352781039903,0.8242919925505442
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp16,torch.float16,1,8,64,512,512,32,544,20,100,0,0.005,0.05,-47.65587615966797,-47.6551513671875,-47.66454315185547,True,0.0001220703125,1.0132789611816406e-06,True,0.00048828125,2.8848648071289062e-05,True,0.00048828125,2.8908252716064453e-05,557056,0.53125,1572864,1.5,1572864,1.5,1114112,1.0625,1114112,1.0625,2.885567150078714,0.0494944717082372,2.8454987332224846,3.3422159031033516,3.2871695095673203,0.02085389043870906,3.242814913392067,3.346115816384554,4.095015483908355,0.09424741541273096,4.050346091389656,5.009279120713472,0.10086296126246452,0.005693416170244348,0.09611202403903008,0.12712087482213974,0.09017397343995981,0.10272404717397876,0.1279692338721361,0.02463066663821235,0.8778273045184494,0.7046535382876447,0.8027245617225329
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp16,torch.float16,1,8,64,512,1024,32,1056,20,100,0,0.005,0.05,12.925407409667969,12.925265312194824,12.926237106323242,True,0.0001220703125,8.940696716308594e-07,True,0.000244140625,2.0563602447509766e-05,True,0.000244140625,2.0563602447509766e-05,1081344,1.03125,1572864,1.5,1572864,1.5,2162688,2.0625,2162688,2.0625,2.8922777948901057,0.05172861176563324,2.8241793625056744,3.3339462243020535,3.2961306162178516,0.022407980509884802,3.2509248703718185,3.371416125446558,4.088520482182503,0.04349243595906164,3.9513548836112022,4.324030131101608,0.09690933395177126,0.0033727892945494098,0.0934121198952198,0.11621182784438133,0.0903836810903158,0.10300408175680786,0.1277662650682032,0.023702787933702577,0.8774766936295907,0.7074142853128553,0.8061915381327224
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp16,torch.float16,1,8,64,512,2048,32,2080,20,100,0,0.005,0.05,-9.434863090515137,-9.437372207641602,-9.423798561096191,True,0.000244140625,1.4185905456542969e-05,True,0.000213623046875,2.294778823852539e-05,True,0.000244140625,1.9669532775878906e-05,2129920,2.03125,1572864,1.5,1572864,1.5,4259840,4.0625,4259840,4.0625,3.191123967990279,0.005864898122509658,3.183333668857813,3.2276338897645473,3.2961871987208724,0.05850232263904722,3.2474850304424763,3.8340832106769085,4.089430314488709,0.020296381570116442,4.049736075103283,4.154867026954889,0.1360616646707058,0.002619053326893402,0.13364199548959732,0.14713173732161522,0.09972262399969622,0.10300584996002726,0.12779469732777216,0.03327154498479753,0.9681258301193074,0.7803345998302595,0.806026009794713
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp32,torch.float32,1,8,64,512,128,32,160,20,100,0,1e-05,0.0001,-87.81895446777344,-87.81895446777344,-87.8189697265625,True,5.364418029785156e-07,5.1106145093626765e-08,True,9.5367431640625e-07,8.813930207907106e-08,True,9.387731552124023e-07,8.5963726803584e-08,327680,0.3125,3145728,3.0,3145728,3.0,655360,0.625,655360,0.625,2.6799431443214417,0.016199774426403055,2.6402571238577366,2.746918238699436,2.519713072106242,0.012755138646948,2.4877539835870266,2.560635097324848,3.494435199536383,0.07058231513991421,3.4385877661406994,4.1695269756019115,0.10205113794654608,0.0032010278144101565,0.09845104068517685,0.11675059795379639,0.08374822326004505,0.07874103350332007,0.10920109998551197,0.029203900521630934,1.063590602433658,0.7669173961723478,0.7210644720040995
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp32,torch.float32,1,8,64,512,256,32,288,20,100,0,1e-05,0.0001,-70.19676208496094,-70.19676208496094,-70.19677734375,True,4.76837158203125e-07,5.2382453930022166e-08,True,7.152557373046875e-07,6.427231369343644e-08,True,7.748603820800781e-07,7.210046959471583e-08,589824,0.5625,3145728,3.0,3145728,3.0,1179648,1.125,1179648,1.125,3.568162671290338,0.0029857691627334666,3.5606687888503075,3.5752402618527412,2.522251713089645,0.026646247781985634,2.4946550838649273,2.74830823764205,3.5230189841240644,0.019340433066032163,3.4742779098451138,3.5698888823390007,0.10284834541380405,0.0037703093935583637,0.09920075535774231,0.1183520071208477,0.11150508347782306,0.0788203660340514,0.11009434325387701,0.02919324189772297,1.4146735049371815,1.012813921063073,0.7159347492749198
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp32,torch.float32,1,8,64,512,512,32,544,20,100,0,1e-05,0.0001,-47.65642547607422,-47.65642166137695,-47.65644073486328,True,2.5331974029541016e-07,3.100719325743739e-08,True,1.1324882507324219e-06,6.160171750480004e-08,True,1.1324882507324219e-06,6.018241549554659e-08,1114112,1.0625,3145728,3.0,3145728,3.0,2228224,2.125,2228224,2.125,5.479550273157656,0.004473492661874077,5.470476113259792,5.494656041264534,2.5448588700965047,0.016193476364057786,2.506513614207506,2.609306015074253,3.3832990657538176,0.09619997096360582,3.2473341561853886,3.5422989167273045,0.11045552790164948,0.0017439955239710503,0.10878220200538635,0.12298207730054855,0.17123594603617676,0.07952683969051577,0.1057280958048068,0.03264728472268217,2.153184342576083,1.6195879130586945,0.7521826538646521
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp32,torch.float32,1,8,64,512,1024,32,1056,20,100,0,1e-05,0.0001,12.917657852172852,12.917667388916016,12.917654037475586,True,1.7881393432617188e-07,2.359216999536784e-08,True,6.854534149169922e-07,4.712495282888085e-08,True,5.811452865600586e-07,4.660354591123905e-08,2162688,2.0625,3145728,3.0,3145728,3.0,4325376,4.125,4325376,4.125,9.54047589097172,0.013916574647355615,9.52720083296299,9.655653033405542,4.142781267873943,0.013689738715640177,4.123056773096323,4.178656730800867,3.588933884166181,0.025663438291340313,3.519367892295122,3.661581315100193,0.18412440083920956,0.001996075301526909,0.1816428266465664,0.19057327881455421,0.29813987159286626,0.12946191462106071,0.11215418388019316,0.051303369407705676,2.3029156680212206,2.658303607392384,1.154320865634012
stage4,fused_qkv_manual_single_query,reduce_constant_overhead_inside_kv_cache_decode,cuda,cuda,fp32,torch.float32,1,8,64,512,2048,32,2080,20,100,0,1e-05,0.0001,-9.421361923217773,-9.421360969543457,-9.42136001586914,True,1.9371509552001953e-07,1.7229872639745736e-08,True,3.129243850708008e-07,3.4755856859192136e-08,True,2.8312206268310547e-07,3.353118316340442e-08,4259840,4.0625,3145728,3.0,3145728,3.0,8519680,8.125,8519680,8.125,17.01744449790567,0.01791030993553808,16.995075158774853,17.14283600449562,7.544177332893014,0.0131402531883165,7.5232237577438354,7.571474649012089,3.411704208701849,0.05351852275654799,3.3701471984386444,3.9026238955557346,0.41721695102751255,0.021577874917145166,0.39136502891778946,0.4460560157895088,0.5317951405595522,0.23575554165290669,0.10661575652193278,0.1222898954614425,2.2557057909692433,4.987960109349807,2.2112636006518187
